epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
181,3930.79,0.67381,0.48865,1.0053,0.76401,0.69487,0.7211,0.54845,0.6283,0.33716,0.93612,0.006436,0.006436,0.006436
182,4288.05,0.67315,0.48818,1.0025,0.766,0.69424,0.72183,0.54711,0.62848,0.33747,0.93621,0.0064162,0.0064162,0.0064162
183,4645.34,0.67564,0.49045,1.00313,0.76539,0.69453,0.72173,0.54722,0.62852,0.33765,0.93629,0.0063964,0.0063964,0.0063964
184,5002.98,0.67287,0.489,1.00603,0.76869,0.69152,0.72149,0.54723,0.62844,0.33795,0.93638,0.0063766,0.0063766,0.0063766
185,5360.79,0.67268,0.48829,1.00274,0.7738,0.69369,0.72624,0.54761,0.62854,0.3382,0.93647,0.0063568,0.0063568,0.0063568
186,5718.24,0.6733,0.48835,1.00585,0.76937,0.69121,0.72226,0.54679,0.62839,0.33835,0.93643,0.006337,0.006337,0.006337
187,6075.8,0.67218,0.49032,1.00243,0.7691,0.69231,0.7224,0.542,0.62843,0.33816,0.93652,0.0063172,0.0063172,0.0063172
188,6433.82,0.66961,0.48659,1.0033,0.76922,0.69334,0.72219,0.54128,0.62849,0.33814,0.93668,0.0062974,0.0062974,0.0062974
189,6791.43,0.6694,0.48352,1.00087,0.7693,0.69464,0.72326,0.54253,0.62843,0.33791,0.93671,0.0062776,0.0062776,0.0062776
190,7149.05,0.66919,0.48358,1.00013,0.77015,0.69525,0.72409,0.54241,0.62848,0.33838,0.93681,0.0062578,0.0062578,0.0062578
191,7506.68,0.66905,0.48644,1.00088,0.77433,0.6968,0.72868,0.54316,0.62866,0.33905,0.93701,0.006238,0.006238,0.006238
192,7864.64,0.66973,0.4888,1.00266,0.77114,0.69599,0.72535,0.54222,0.62863,0.33938,0.93708,0.0062182,0.0062182,0.0062182
193,8222.25,0.66839,0.48514,1.00249,0.78881,0.69908,0.73205,0.54278,0.62851,0.33954,0.93695,0.0061984,0.0061984,0.0061984
194,8579.8,0.66953,0.48468,1.00172,0.78954,0.69892,0.73272,0.54277,0.62873,0.33955,0.93727,0.0061786,0.0061786,0.0061786
195,8937.83,0.66798,0.48169,1.00209,0.77581,0.69869,0.72994,0.54266,0.62888,0.33955,0.93746,0.0061588,0.0061588,0.0061588
196,9295.83,0.666,0.48232,0.99894,0.77253,0.70075,0.72964,0.54247,0.62894,0.33934,0.9376,0.006139,0.006139,0.006139
197,9653.57,0.66797,0.48498,1.00311,0.77329,0.69883,0.72968,0.54223,0.62866,0.33983,0.93749,0.0061192,0.0061192,0.0061192
198,10011.2,0.66483,0.48254,1.00025,0.77308,0.69771,0.72967,0.54227,0.6287,0.3397,0.93745,0.0060994,0.0060994,0.0060994
199,10369,0.66487,0.48019,1.00177,0.77234,0.69845,0.72945,0.54185,0.62848,0.33991,0.93734,0.0060796,0.0060796,0.0060796
200,10726.8,0.66463,0.48244,1.00166,0.77301,0.7023,0.73048,0.54194,0.62848,0.34029,0.93719,0.0060598,0.0060598,0.0060598
201,11084.6,0.66301,0.47831,0.9969,0.774,0.70272,0.73039,0.54186,0.62867,0.34033,0.93735,0.00604,0.00604,0.00604
202,11442.4,0.6641,0.48106,0.99844,0.77427,0.70284,0.72975,0.5476,0.62904,0.3409,0.93754,0.0060202,0.0060202,0.0060202
203,11800.6,0.66252,0.47931,0.99811,0.77698,0.70398,0.72949,0.54731,0.62905,0.34064,0.93746,0.0060004,0.0060004,0.0060004
204,12158.4,0.66244,0.4779,0.999,0.77283,0.70392,0.72924,0.54688,0.62925,0.34014,0.93758,0.0059806,0.0059806,0.0059806
205,12516.3,inf,0.47713,0.99516,0.77694,0.70396,0.72847,0.54697,0.62942,0.34054,0.93756,0.0059608,0.0059608,0.0059608
206,12874.1,0.65884,0.47575,0.99837,0.77536,0.70348,0.72831,0.54728,0.62944,0.3408,0.93768,0.005941,0.005941,0.005941
207,13231.9,0.65862,0.4748,0.99651,0.77263,0.70298,0.72678,0.54684,0.62937,0.341,0.93779,0.0059212,0.0059212,0.0059212
208,13589.7,0.65816,0.47429,0.99341,0.77056,0.70323,0.72724,0.54691,0.62936,0.34112,0.93781,0.0059014,0.0059014,0.0059014
209,13947.7,0.65974,0.47371,0.99611,0.77255,0.70394,0.73009,0.54637,0.62931,0.34115,0.93766,0.0058816,0.0058816,0.0058816
210,14305.6,0.65747,0.47411,0.99466,0.77212,0.69878,0.72718,0.54811,0.62925,0.34113,0.93745,0.0058618,0.0058618,0.0058618
211,14663.6,0.65657,0.47273,0.99221,0.76406,0.69916,0.72731,0.54775,0.62936,0.34089,0.93736,0.005842,0.005842,0.005842
212,15021.9,0.65502,0.47303,0.99442,0.76089,0.70685,0.73052,0.54823,0.62939,0.34062,0.93726,0.0058222,0.0058222,0.0058222
213,15379.7,0.65637,0.47344,0.99513,0.75798,0.70683,0.73015,0.54969,0.62924,0.34079,0.93701,0.0058024,0.0058024,0.0058024
214,15737.4,0.65476,0.47238,0.99554,0.76546,0.70257,0.72995,0.54879,0.62918,0.34082,0.93715,0.0057826,0.0057826,0.0057826
215,16095.7,0.65267,0.47037,0.99402,0.75927,0.70703,0.7298,0.54847,0.62926,0.34156,0.9372,0.0057628,0.0057628,0.0057628
216,16453.5,0.65539,0.47164,0.99616,0.76257,0.70609,0.72985,0.54871,0.62926,0.34187,0.93725,0.005743,0.005743,0.005743
217,16811.7,0.65458,0.47074,0.99009,0.77014,0.70482,0.72969,0.54909,0.62915,0.34175,0.93722,0.0057232,0.0057232,0.0057232
218,17169.6,0.65272,0.4693,0.99251,0.77082,0.70543,0.72993,0.5492,0.62918,0.34171,0.93744,0.0057034,0.0057034,0.0057034
219,17527.5,0.65283,0.46767,0.99296,0.76925,0.70735,0.72937,0.54869,0.6291,0.34166,0.93759,0.0056836,0.0056836,0.0056836
220,17885.9,0.6516,0.46822,0.99218,0.77141,0.70773,0.72987,0.54946,0.62941,0.34223,0.93779,0.0056638,0.0056638,0.0056638
221,18243.9,0.65077,0.4685,0.99311,0.77487,0.70677,0.72958,0.54843,0.62951,0.3423,0.93795,0.005644,0.005644,0.005644
222,18601.8,0.64772,0.46569,0.98696,0.77145,0.70724,0.72947,0.54881,0.6295,0.34246,0.93779,0.0056242,0.0056242,0.0056242
223,18959.8,0.65151,0.46703,0.98637,0.77557,0.70716,0.72983,0.54878,0.62962,0.34213,0.93768,0.0056044,0.0056044,0.0056044
224,19317.8,0.6481,0.46732,0.99057,0.77555,0.70715,0.72988,0.54818,0.62972,0.34226,0.93762,0.0055846,0.0055846,0.0055846
225,19675.9,0.64872,0.46719,0.98866,0.77417,0.70807,0.73048,0.54841,0.62951,0.34221,0.93704,0.0055648,0.0055648,0.0055648
226,20033.8,0.64517,0.46201,0.98734,0.7744,0.70704,0.73105,0.54845,0.62934,0.34161,0.93673,0.005545,0.005545,0.005545
227,20391.7,0.64663,0.46423,0.9863,0.77549,0.70719,0.73012,0.54707,0.62897,0.34177,0.93636,0.0055252,0.0055252,0.0055252
228,20750,0.64574,0.4622,0.98702,0.77531,0.70732,0.73017,0.54786,0.62904,0.34225,0.93636,0.0055054,0.0055054,0.0055054
229,21108.2,0.64552,0.46437,0.98716,0.77336,0.70501,0.72442,0.5473,0.6287,0.34197,0.93604,0.0054856,0.0054856,0.0054856
230,21466.2,0.64453,0.46145,0.98821,0.77251,0.71006,0.7242,0.54855,0.62883,0.34218,0.9362,0.0054658,0.0054658,0.0054658
231,21824.4,0.64491,0.4614,0.98592,0.77129,0.71007,0.72366,0.54832,0.62891,0.34236,0.93604,0.005446,0.005446,0.005446
232,22182.7,0.6432,0.4606,0.98604,0.77101,0.71004,0.72316,0.54735,0.62968,0.34252,0.93684,0.0054262,0.0054262,0.0054262
233,22540.8,0.64331,0.46097,0.98567,0.77081,0.71035,0.72267,0.54698,0.6298,0.34272,0.93699,0.0054064,0.0054064,0.0054064
234,22898.7,0.64169,0.45906,0.98464,0.77079,0.71046,0.72233,0.54613,0.62964,0.3426,0.93683,0.0053866,0.0053866,0.0053866
235,23257.2,0.64249,0.45947,0.98149,0.76994,0.71015,0.72268,0.54662,0.62922,0.34279,0.93644,0.0053668,0.0053668,0.0053668
236,23615.8,0.64101,0.45993,0.98709,0.76753,0.71016,0.72272,0.54541,0.62916,0.34284,0.93628,0.005347,0.005347,0.005347
237,23973.8,0.63916,0.45572,0.98456,0.80224,0.70966,0.72378,0.54598,0.62906,0.34272,0.93629,0.0053272,0.0053272,0.0053272
238,24331.7,0.64064,0.45775,0.98542,0.80014,0.71035,0.72378,0.54697,0.6292,0.34237,0.93633,0.0053074,0.0053074,0.0053074
239,24689.7,0.63886,0.4577,0.98388,0.8016,0.71082,0.72443,0.54648,0.62926,0.34212,0.93637,0.0052876,0.0052876,0.0052876
240,25048,0.63875,0.4581,0.98349,0.8014,0.70989,0.72493,0.54629,0.62939,0.34278,0.9363,0.0052678,0.0052678,0.0052678
241,25406,0.63963,0.4582,0.9812,0.80124,0.70931,0.72443,0.54637,0.62971,0.3431,0.93628,0.005248,0.005248,0.005248
242,25763.8,0.63666,0.45629,0.98584,0.80152,0.7094,0.72338,0.54651,0.6295,0.34368,0.93606,0.0052282,0.0052282,0.0052282
243,26121.8,0.636,0.45622,0.98565,0.79859,0.71025,0.72343,0.54644,0.62949,0.34375,0.93596,0.0052084,0.0052084,0.0052084
244,26480.2,0.63258,0.45283,0.98265,0.79766,0.71077,0.72371,0.54643,0.62932,0.34379,0.93582,0.0051886,0.0051886,0.0051886
245,26838.3,0.63671,0.4561,0.98225,0.76337,0.71485,0.72419,0.54648,0.62939,0.34381,0.93595,0.0051688,0.0051688,0.0051688
246,27196.3,0.63557,0.45148,0.97814,0.76322,0.71492,0.72474,0.54602,0.62936,0.34418,0.93584,0.005149,0.005149,0.005149
247,27554.8,0.63404,0.45394,0.97931,0.76353,0.71303,0.72469,0.54574,0.62938,0.34373,0.93571,0.0051292,0.0051292,0.0051292
248,27913.2,0.63609,0.45436,0.98566,0.76262,0.7102,0.72452,0.54531,0.62988,0.34381,0.93628,0.0051094,0.0051094,0.0051094
249,28271.3,0.63383,0.45366,0.98252,0.81265,0.70263,0.72429,0.54532,0.62988,0.34398,0.93625,0.0050896,0.0050896,0.0050896
250,28629.6,0.63341,0.45399,0.98057,0.81081,0.70076,0.72462,0.54593,0.62979,0.34355,0.93622,0.0050698,0.0050698,0.0050698
251,28984.4,0.63246,0.45181,0.97918,0.81122,0.70005,0.72452,0.54645,0.62965,0.34376,0.93624,0.00505,0.00505,0.00505
252,29337.8,0.63172,0.45073,0.98181,0.77219,0.70052,0.72437,0.54619,0.62956,0.34364,0.93625,0.0050302,0.0050302,0.0050302
253,29691.1,0.63126,0.44975,0.97985,0.77373,0.70413,0.72338,0.54511,0.62957,0.34363,0.93626,0.0050104,0.0050104,0.0050104
254,30044.3,0.62856,0.449,0.97918,0.77182,0.70448,0.72281,0.54404,0.62961,0.34324,0.93621,0.0049906,0.0049906,0.0049906
255,366.286,0.58582,0.41171,0.96052,0.7737,0.70437,0.72267,0.54412,0.62956,0.34363,0.93631,0.0049708,0.0049708,0.0049708
256,723.995,0.60298,0.42647,0.97069,0.77371,0.70365,0.72349,0.54473,0.6294,0.34325,0.93619,0.004951,0.004951,0.004951
257,1082.43,0.60808,0.42972,0.97091,0.7751,0.7038,0.72289,0.54473,0.62942,0.34364,0.93627,0.0049312,0.0049312,0.0049312
258,1441.36,0.61084,0.43298,0.97279,0.77657,0.69966,0.72245,0.54412,0.62923,0.34347,0.93621,0.0049114,0.0049114,0.0049114
259,1800.29,0.61161,0.43395,0.9735,0.76793,0.69371,0.71193,0.54355,0.62917,0.34324,0.93621,0.0048916,0.0048916,0.0048916
260,2159.66,0.6172,0.43685,0.97458,0.77184,0.70324,0.72196,0.54503,0.62911,0.34336,0.93638,0.0048718,0.0048718,0.0048718
261,2518.69,0.6164,0.4369,0.97434,0.76591,0.69463,0.71286,0.54417,0.62902,0.34327,0.93642,0.004852,0.004852,0.004852
262,2877.7,0.61717,0.43674,0.97468,0.76635,0.69495,0.71463,0.54428,0.62905,0.34319,0.93653,0.0048322,0.0048322,0.0048322
263,3236.94,0.61858,0.43804,0.97152,0.76783,0.69456,0.71429,0.54371,0.62885,0.34307,0.93651,0.0048124,0.0048124,0.0048124
264,3596.36,0.61835,0.44037,0.97306,0.77167,0.69,0.71365,0.54381,0.62888,0.34312,0.93672,0.0047926,0.0047926,0.0047926
265,3955.58,0.61767,0.43931,0.97494,0.76268,0.69476,0.71345,0.54395,0.62896,0.34343,0.93689,0.0047728,0.0047728,0.0047728
266,4314.81,0.61889,0.4394,0.97486,0.76069,0.69517,0.71328,0.54332,0.62898,0.34366,0.93691,0.004753,0.004753,0.004753
267,4674.34,0.61884,0.43828,0.97274,0.76893,0.69622,0.72388,0.54425,0.62889,0.34364,0.93684,0.0047332,0.0047332,0.0047332
268,5033.6,0.61871,0.43863,0.97779,0.77057,0.69839,0.72361,0.54464,0.62916,0.34319,0.93714,0.0047134,0.0047134,0.0047134
269,5393.29,0.61697,0.43696,0.97336,0.77568,0.69362,0.72339,0.54409,0.62894,0.34312,0.93709,0.0046936,0.0046936,0.0046936
270,5752.81,0.61744,0.43964,0.97548,0.77462,0.69386,0.72312,0.54398,0.62893,0.34305,0.93711,0.0046738,0.0046738,0.0046738
271,6112.53,0.61753,0.43901,0.97425,0.77493,0.69549,0.72405,0.54338,0.62864,0.34255,0.93698,0.004654,0.004654,0.004654
272,6471.66,0.61543,0.43684,0.97279,0.77152,0.69564,0.72308,0.54427,0.62852,0.34261,0.93687,0.0046342,0.0046342,0.0046342
273,6830.93,0.61269,0.43437,0.97268,0.7692,0.69639,0.72292,0.54384,0.62822,0.34219,0.93666,0.0046144,0.0046144,0.0046144
274,7190.16,0.61431,0.43603,0.97347,0.76891,0.6966,0.72263,0.54386,0.62799,0.34235,0.93664,0.0045946,0.0045946,0.0045946
275,7549.59,0.61412,0.43772,0.97591,0.76785,0.69689,0.72231,0.54418,0.62798,0.34263,0.93689,0.0045748,0.0045748,0.0045748
276,7909.31,0.61537,0.43885,0.97472,0.76483,0.69791,0.72247,0.54428,0.62802,0.34277,0.93698,0.004555,0.004555,0.004555
277,8268.82,0.61494,0.43627,0.97295,0.76043,0.70028,0.72306,0.54515,0.628,0.34312,0.93715,0.0045352,0.0045352,0.0045352
278,8628.31,0.61443,0.43559,0.97473,0.7585,0.70058,0.72293,0.54477,0.62812,0.34331,0.9373,0.0045154,0.0045154,0.0045154
279,8987.26,0.61432,0.43601,0.97329,0.75602,0.70025,0.72276,0.54557,0.62832,0.3433,0.93753,0.0044956,0.0044956,0.0044956
280,9345.74,0.61245,0.43409,0.97334,0.78054,0.69515,0.72423,0.54603,0.62848,0.3432,0.93763,0.0044758,0.0044758,0.0044758
281,9704.56,0.61513,0.43583,0.97681,0.77951,0.69469,0.72406,0.54629,0.62833,0.34345,0.93744,0.004456,0.004456,0.004456
282,10063.7,0.61252,0.43409,0.97229,0.78214,0.69476,0.72442,0.54636,0.62844,0.34345,0.9374,0.0044362,0.0044362,0.0044362
283,10423.6,inf,0.43283,0.97219,0.78301,0.69475,0.72434,0.54913,0.62831,0.34346,0.93735,0.0044164,0.0044164,0.0044164
284,10783.5,0.61234,0.43519,0.9727,0.78203,0.69335,0.7243,0.54828,0.62833,0.34283,0.93741,0.0043966,0.0043966,0.0043966
285,11143.1,0.6097,0.43166,0.9694,0.7838,0.69328,0.72433,0.54885,0.62834,0.34278,0.93724,0.0043768,0.0043768,0.0043768
286,11502.5,0.6108,0.43415,0.97092,0.78482,0.69257,0.72419,0.54834,0.62844,0.3429,0.93738,0.004357,0.004357,0.004357
287,11862.2,0.61076,0.43193,0.97001,0.78506,0.69204,0.72425,0.54804,0.62849,0.34244,0.93737,0.0043372,0.0043372,0.0043372
288,12221.7,0.60912,0.43143,0.97059,0.786,0.69195,0.72386,0.5485,0.62856,0.34218,0.93773,0.0043174,0.0043174,0.0043174
289,12581.2,0.60769,0.43071,0.9689,0.78657,0.69256,0.72404,0.54807,0.62841,0.34187,0.93751,0.0042976,0.0042976,0.0042976
290,12940.6,0.60653,0.42803,0.96649,0.78741,0.69266,0.72426,0.54931,0.62847,0.34149,0.93763,0.0042778,0.0042778,0.0042778
291,13300.5,0.60551,0.42777,0.96878,0.78662,0.69188,0.72423,0.5492,0.62838,0.3412,0.93766,0.004258,0.004258,0.004258
292,13660.4,0.60687,0.4281,0.96528,0.78669,0.69184,0.72436,0.5489,0.62818,0.34116,0.93745,0.0042382,0.0042382,0.0042382
293,14020.1,0.60594,0.42779,0.96587,0.78611,0.69339,0.72437,0.54895,0.62817,0.34159,0.93737,0.0042184,0.0042184,0.0042184
294,14379.4,0.60573,0.42666,0.96773,0.78524,0.6935,0.72435,0.54887,0.62801,0.34186,0.93735,0.0041986,0.0041986,0.0041986
295,14739.3,0.60279,0.42518,0.96546,0.78479,0.69405,0.72454,0.54878,0.62827,0.34229,0.93733,0.0041788,0.0041788,0.0041788
296,15098.9,0.60307,0.42666,0.97048,0.78539,0.69376,0.7241,0.54884,0.62822,0.34238,0.93755,0.004159,0.004159,0.004159
297,15458.6,0.60352,0.42729,0.96878,0.78653,0.69381,0.72412,0.54892,0.62842,0.34265,0.93768,0.0041392,0.0041392,0.0041392
298,15818.1,0.60303,0.42462,0.96608,0.78957,0.69321,0.72401,0.54866,0.62835,0.34273,0.93765,0.0041194,0.0041194,0.0041194
299,16177.5,0.60107,0.42242,0.9648,0.79101,0.69181,0.72432,0.54895,0.62852,0.3425,0.93789,0.0040996,0.0040996,0.0040996
300,16537.3,0.60291,0.42447,0.96772,0.78973,0.69265,0.72495,0.55017,0.62897,0.34278,0.93822,0.0040798,0.0040798,0.0040798
301,16896.6,0.60371,0.42491,0.96693,0.78864,0.69423,0.72427,0.5504,0.629,0.34267,0.93822,0.00406,0.00406,0.00406
302,17256,0.6007,0.42408,0.96636,0.78864,0.69478,0.72508,0.54998,0.62912,0.34294,0.93834,0.0040402,0.0040402,0.0040402
303,17615.7,0.59988,0.4225,0.96727,0.78859,0.6939,0.72503,0.55056,0.62899,0.34252,0.93818,0.0040204,0.0040204,0.0040204
304,17975.6,0.59804,0.42251,0.96537,0.78895,0.69414,0.72627,0.55067,0.62921,0.34231,0.93829,0.0040006,0.0040006,0.0040006
305,18335.1,0.59998,0.4233,0.96422,0.7889,0.69513,0.72652,0.55539,0.62919,0.34295,0.9382,0.0039808,0.0039808,0.0039808
306,18694.4,0.59558,0.42201,0.96217,0.78895,0.69491,0.72585,0.55485,0.62965,0.34318,0.9385,0.003961,0.003961,0.003961
307,19053.9,0.60017,0.4217,0.96454,0.7858,0.69901,0.7269,0.55534,0.62922,0.34321,0.93786,0.0039412,0.0039412,0.0039412
308,19413.5,0.59867,0.42269,0.96377,0.78355,0.70062,0.7269,0.55556,0.62914,0.3432,0.93765,0.0039214,0.0039214,0.0039214
309,19772.8,0.5975,0.42077,0.964,0.78357,0.70124,0.7256,0.55385,0.62903,0.34329,0.93742,0.0039016,0.0039016,0.0039016
310,20132.1,0.5948,0.41877,0.96303,0.78395,0.70159,0.72573,0.55332,0.62929,0.34343,0.93769,0.0038818,0.0038818,0.0038818
311,20491.4,0.5957,0.42085,0.96103,0.78479,0.70319,0.72676,0.55406,0.62945,0.34407,0.93774,0.003862,0.003862,0.003862
312,20850.9,0.59253,0.41642,0.96186,0.78394,0.70314,0.72635,0.55374,0.6294,0.34441,0.9377,0.0038422,0.0038422,0.0038422
313,21210.5,0.59362,0.42077,0.96102,0.78391,0.70308,0.72668,0.55344,0.62906,0.34426,0.93727,0.0038224,0.0038224,0.0038224
314,21569.8,0.59258,0.41868,0.96123,0.78389,0.70318,0.72651,0.55476,0.62921,0.34487,0.93736,0.0038026,0.0038026,0.0038026
315,21929.1,0.59421,0.41688,0.95989,0.78407,0.70281,0.72685,0.5547,0.6298,0.34564,0.93761,0.0037828,0.0037828,0.0037828
316,22288.7,0.59239,0.41459,0.95989,0.77633,0.69314,0.71109,0.55312,0.63008,0.34615,0.93777,0.003763,0.003763,0.003763
317,22648.2,0.59116,0.41442,0.95862,0.77648,0.69313,0.71123,0.55297,0.63053,0.34678,0.93788,0.0037432,0.0037432,0.0037432
318,23007.4,0.59121,0.4156,0.95997,0.77737,0.69354,0.71134,0.55249,0.6309,0.3467,0.93805,0.0037234,0.0037234,0.0037234
319,23366.9,0.59142,0.41613,0.96136,0.77822,0.69342,0.71119,0.55226,0.6304,0.34669,0.93735,0.0037036,0.0037036,0.0037036
320,23726.5,0.5912,0.41292,0.96061,0.77835,0.69339,0.71097,0.5521,0.63051,0.34648,0.9371,0.0036838,0.0036838,0.0036838
321,24085.9,0.58727,0.41127,0.95837,0.77683,0.69053,0.71078,0.55207,0.63075,0.34599,0.93723,0.003664,0.003664,0.003664
322,24445.1,0.58924,0.41154,0.9575,0.7806,0.69317,0.71112,0.55282,0.63103,0.34579,0.93725,0.0036442,0.0036442,0.0036442
323,24805.2,0.58802,0.41251,0.95577,0.77704,0.68939,0.71007,0.55206,0.63133,0.34616,0.93735,0.0036244,0.0036244,0.0036244
324,25164.3,0.58801,0.41232,0.95883,0.78405,0.687,0.7109,0.54859,0.63114,0.34621,0.93716,0.0036046,0.0036046,0.0036046
325,25523.9,0.58917,0.41251,0.96108,0.78284,0.68661,0.71001,0.54839,0.63115,0.34611,0.93707,0.0035848,0.0035848,0.0035848
326,25883.3,0.58664,0.41163,0.95739,0.78297,0.68668,0.70992,0.54708,0.63147,0.34645,0.93724,0.003565,0.003565,0.003565
327,26243.1,0.58509,0.41247,0.96024,0.78402,0.68477,0.70886,0.54769,0.63215,0.34662,0.93789,0.0035452,0.0035452,0.0035452
328,26602.4,0.58572,0.41038,0.95602,0.78501,0.68415,0.70904,0.54817,0.63249,0.34636,0.93826,0.0035254,0.0035254,0.0035254
329,26961.8,0.58567,0.41257,0.95757,0.78388,0.68376,0.70857,0.54827,0.63246,0.34631,0.93836,0.0035056,0.0035056,0.0035056
330,27321.3,0.58374,0.40566,0.95563,0.78373,0.68388,0.7089,0.54847,0.63257,0.34667,0.93868,0.0034858,0.0034858,0.0034858
331,27680.5,0.58374,0.40969,0.95808,0.7838,0.68391,0.70909,0.54861,0.63269,0.34648,0.93865,0.003466,0.003466,0.003466
332,28040.4,0.58636,0.41071,0.95809,0.78445,0.68455,0.70771,0.54826,0.63291,0.34624,0.93903,0.0034462,0.0034462,0.0034462
333,28400,0.58208,0.40984,0.95605,0.78398,0.68485,0.70762,0.54806,0.63312,0.3465,0.93925,0.0034264,0.0034264,0.0034264
334,28759.3,0.58178,0.40809,0.95683,0.78431,0.6834,0.70754,0.54827,0.63347,0.3468,0.93946,0.0034066,0.0034066,0.0034066
335,29118.7,0.58186,0.40709,0.95678,0.78353,0.68356,0.70699,0.5476,0.63343,0.34699,0.93953,0.0033868,0.0033868,0.0033868
336,29478,0.58121,0.4061,0.95525,0.78424,0.6828,0.70801,0.54788,0.63372,0.34718,0.93974,0.003367,0.003367,0.003367
337,29837.4,0.58007,0.40506,0.95253,0.78483,0.68283,0.70831,0.54703,0.63398,0.34729,0.93979,0.0033472,0.0033472,0.0033472
338,30196.6,0.57664,0.4045,0.95304,0.7858,0.68096,0.70827,0.54011,0.63392,0.34722,0.93983,0.0033274,0.0033274,0.0033274
339,30555.9,0.57977,0.40903,0.95504,0.76323,0.69726,0.70999,0.54045,0.63369,0.3474,0.93967,0.0033076,0.0033076,0.0033076
340,30915.4,0.57469,0.4028,0.95324,0.76976,0.69214,0.7102,0.5405,0.63381,0.34739,0.93987,0.0032878,0.0032878,0.0032878
341,31274.6,0.57532,0.40289,0.95136,0.76786,0.69793,0.71026,0.54118,0.63367,0.34756,0.93976,0.003268,0.003268,0.003268
342,31633.6,0.57596,0.40517,0.95546,0.76845,0.69766,0.71029,0.54205,0.63391,0.34782,0.9399,0.0032482,0.0032482,0.0032482
343,31993.2,0.57799,0.40347,0.95579,0.7679,0.69685,0.70951,0.54231,0.63372,0.34796,0.93998,0.0032284,0.0032284,0.0032284
344,32353.1,0.57703,0.4041,0.956,0.76921,0.69613,0.70938,0.54163,0.63367,0.3479,0.93991,0.0032086,0.0032086,0.0032086
345,32712.2,0.57246,0.40126,0.95354,0.7705,0.68552,0.70819,0.5428,0.63349,0.34875,0.93998,0.0031888,0.0031888,0.0031888
346,33071.3,0.57218,0.39921,0.95093,0.77426,0.68309,0.7076,0.54196,0.63338,0.34885,0.94005,0.003169,0.003169,0.003169
347,33430.9,0.56854,0.39687,0.95027,0.7745,0.68308,0.70649,0.54118,0.6333,0.34851,0.94021,0.0031492,0.0031492,0.0031492
348,33790.4,0.57251,0.39784,0.94949,0.7812,0.67652,0.7068,0.54107,0.63331,0.34858,0.94022,0.0031294,0.0031294,0.0031294
349,34149.6,0.56919,0.39522,0.9473,0.78137,0.67624,0.70667,0.54073,0.63312,0.34859,0.94003,0.0031096,0.0031096,0.0031096
350,34508.8,0.57047,0.39794,0.9508,0.78233,0.67599,0.70938,0.54093,0.63295,0.34833,0.94011,0.0030898,0.0030898,0.0030898
351,34867.9,0.56781,0.39762,0.94885,0.78343,0.67478,0.70912,0.54769,0.63288,0.34865,0.94015,0.00307,0.00307,0.00307
352,35227.1,0.56968,0.39679,0.95053,0.78437,0.67752,0.70919,0.54099,0.63274,0.34884,0.94023,0.0030502,0.0030502,0.0030502
353,35586.4,0.56762,0.39865,0.95269,0.78555,0.67697,0.70945,0.54056,0.63286,0.34906,0.94042,0.0030304,0.0030304,0.0030304
354,35945.6,0.56538,0.39526,0.94951,0.78507,0.67756,0.70966,0.54052,0.63268,0.34948,0.94031,0.0030106,0.0030106,0.0030106
355,36305.1,0.56596,0.39413,0.94961,0.79208,0.68322,0.71266,0.54192,0.63276,0.35001,0.94049,0.0029908,0.0029908,0.0029908
356,36664.8,0.56376,0.39291,0.94794,0.79044,0.68507,0.71259,0.54177,0.63288,0.35034,0.94041,0.002971,0.002971,0.002971
357,37023.9,0.56469,0.39242,0.94931,0.79016,0.68518,0.71134,0.54095,0.63295,0.351,0.94044,0.0029512,0.0029512,0.0029512
358,37383,0.5629,0.39143,0.94701,0.76027,0.69495,0.71009,0.54089,0.63294,0.35088,0.94049,0.0029314,0.0029314,0.0029314
359,37742.4,0.56249,0.39154,0.94731,0.75681,0.69603,0.71014,0.54113,0.63325,0.3512,0.9407,0.0029116,0.0029116,0.0029116
360,38101.6,0.56159,0.3912,0.94478,0.75589,0.69622,0.70991,0.5412,0.63344,0.35126,0.94083,0.0028918,0.0028918,0.0028918
361,38461,0.56256,0.39067,0.94643,0.75449,0.69367,0.70945,0.54101,0.63367,0.35191,0.94096,0.002872,0.002872,0.002872
362,38820.4,0.5596,0.3894,0.94433,0.76047,0.6991,0.71539,0.549,0.6337,0.35198,0.94104,0.0028522,0.0028522,0.0028522
363,39182.5,0.56019,0.38844,0.94398,0.7553,0.70033,0.71528,0.54894,0.63414,0.35283,0.94123,0.0028324,0.0028324,0.0028324
364,39544.7,0.55796,0.38819,0.94558,0.78549,0.68226,0.71531,0.54906,0.63391,0.3537,0.94102,0.0028126,0.0028126,0.0028126
365,39906.7,0.55843,0.38855,0.9449,0.78601,0.68198,0.71558,0.55014,0.63396,0.35415,0.94099,0.0027928,0.0027928,0.0027928
366,40268.6,0.55635,0.38746,0.94455,0.78607,0.68175,0.71698,0.54985,0.63394,0.35481,0.94092,0.002773,0.002773,0.002773
367,40631,0.55533,0.38438,0.94198,0.78567,0.68096,0.71498,0.54874,0.63411,0.35517,0.94093,0.0027532,0.0027532,0.0027532
